正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       25    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        8    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       61    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       44    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:857(__init__)
       18    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       12    0.000    0.000    0.000    0.000 argparse.py:1433(_registry_get)
       27    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        7    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 argparse.py:1143(__init__)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       26    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       17    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       26    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       31    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        9    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
       17    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1637(_get_handler)
        2    0.000    0.000    0.000    0.000 argparse.py:2569(_get_value)
        3    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        5    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
       21    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 argparse.py:2110(consume_positionals)
        7    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:904(BooleanOptionalAction)
       28    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
